row,col,expected,actual,file
10174,H2O,a double,"wetl""",literal data
10174,CO2,no trailing characters,2023-07-19,literal data
10174,CH4,no trailing characters,15:15:08,literal data
10174,NA,22 columns,25 columns,literal data
10175,DATE,date like ,2,literal data
10175,TIME,time like ,in,literal data
10175,H2O,a double,"wetl""",literal data
10175,CO2,no trailing characters,2023-07-19,literal data
10175,CH4,no trailing characters,15:15:09,literal data
10175,NA,22 columns,25 columns,literal data
10176,DATE,date like ,2,literal data
10176,TIME,time like ,in,literal data
10176,H2O,a double,"wetl""",literal data
10176,CO2,no trailing characters,2023-07-19,literal data
10176,CH4,no trailing characters,15:15:10,literal data
10176,NA,22 columns,25 columns,literal data
10177,DATE,date like ,2,literal data
10177,TIME,time like ,in,literal data
10177,H2O,a double,"wetl""",literal data
10177,CO2,no trailing characters,2023-07-19,literal data
10177,CH4,no trailing characters,15:15:11,literal data
10177,NA,22 columns,25 columns,literal data
10178,DATE,date like ,2,literal data
10178,TIME,time like ,in,literal data
10178,H2O,a double,"wetl""",literal data
10178,CO2,no trailing characters,2023-07-19,literal data
10178,CH4,no trailing characters,15:15:12,literal data
10178,NA,22 columns,25 columns,literal data
10179,DATE,date like ,2,literal data
10179,TIME,time like ,in,literal data
10179,H2O,a double,"wetl""",literal data
10179,CO2,no trailing characters,2023-07-19,literal data
10179,CH4,no trailing characters,15:15:13,literal data
10179,NA,22 columns,25 columns,literal data
10180,DATE,date like ,2,literal data
10180,TIME,time like ,in,literal data
10180,H2O,a double,"wetl""",literal data
10180,CO2,no trailing characters,2023-07-19,literal data
10180,CH4,no trailing characters,15:15:14,literal data
10180,NA,22 columns,25 columns,literal data
10181,DATE,date like ,2,literal data
10181,TIME,time like ,in,literal data
10181,H2O,a double,"wetl""",literal data
10181,CO2,no trailing characters,2023-07-19,literal data
10181,CH4,no trailing characters,15:15:15,literal data
10181,NA,22 columns,25 columns,literal data
10182,DATE,date like ,2,literal data
10182,TIME,time like ,in,literal data
10182,H2O,a double,"wetl""",literal data
10182,CO2,no trailing characters,2023-07-19,literal data
10182,CH4,no trailing characters,15:15:16,literal data
10182,NA,22 columns,25 columns,literal data
10183,DATE,date like ,2,literal data
10183,TIME,time like ,in,literal data
10183,H2O,a double,"wetl""",literal data
10183,CO2,no trailing characters,2023-07-19,literal data
10183,CH4,no trailing characters,15:15:17,literal data
10183,NA,22 columns,25 columns,literal data
10184,DATE,date like ,2,literal data
10184,TIME,time like ,in,literal data
10184,H2O,a double,"wetl""",literal data
10184,CO2,no trailing characters,2023-07-19,literal data
10184,CH4,no trailing characters,15:15:18,literal data
10184,NA,22 columns,25 columns,literal data
10185,DATE,date like ,2,literal data
10185,TIME,time like ,in,literal data
10185,H2O,a double,"wetl""",literal data
10185,CO2,no trailing characters,2023-07-19,literal data
10185,CH4,no trailing characters,15:15:19,literal data
10185,NA,22 columns,25 columns,literal data
10186,DATE,date like ,2,literal data
10186,TIME,time like ,in,literal data
10186,H2O,a double,"wetl""",literal data
10186,CO2,no trailing characters,2023-07-19,literal data
10186,CH4,no trailing characters,15:15:20,literal data
10186,NA,22 columns,25 columns,literal data
10187,DATE,date like ,2,literal data
10187,TIME,time like ,in,literal data
10187,H2O,a double,"wetl""",literal data
10187,CO2,no trailing characters,2023-07-19,literal data
10187,CH4,no trailing characters,15:15:21,literal data
10187,NA,22 columns,25 columns,literal data
10188,DATE,date like ,2,literal data
10188,TIME,time like ,in,literal data
10188,H2O,a double,"wetl""",literal data
10188,CO2,no trailing characters,2023-07-19,literal data
10188,CH4,no trailing characters,15:15:22,literal data
10188,NA,22 columns,25 columns,literal data
10189,DATE,date like ,2,literal data
10189,TIME,time like ,in,literal data
10189,H2O,a double,"wetl""",literal data
10189,CO2,no trailing characters,2023-07-19,literal data
10189,CH4,no trailing characters,15:15:23,literal data
10189,NA,22 columns,25 columns,literal data
10190,DATE,date like ,2,literal data
10190,TIME,time like ,in,literal data
10190,H2O,a double,"wetl""",literal data
10190,CO2,no trailing characters,2023-07-19,literal data
10190,CH4,no trailing characters,15:15:24,literal data
10190,NA,22 columns,25 columns,literal data
10191,DATE,date like ,2,literal data
10191,TIME,time like ,in,literal data
10191,H2O,a double,"wetl""",literal data
10191,CO2,no trailing characters,2023-07-19,literal data
10191,CH4,no trailing characters,15:15:25,literal data
10191,NA,22 columns,25 columns,literal data
10192,DATE,date like ,2,literal data
10192,TIME,time like ,in,literal data
10192,H2O,a double,"wetl""",literal data
10192,CO2,no trailing characters,2023-07-19,literal data
10192,CH4,no trailing characters,15:15:26,literal data
10192,NA,22 columns,25 columns,literal data
10193,DATE,date like ,2,literal data
10193,TIME,time like ,in,literal data
10193,H2O,a double,"wetl""",literal data
10193,CO2,no trailing characters,2023-07-19,literal data
10193,CH4,no trailing characters,15:15:27,literal data
10193,NA,22 columns,25 columns,literal data
10194,DATE,date like ,2,literal data
10194,TIME,time like ,in,literal data
10194,H2O,a double,"wetl""",literal data
10194,CO2,no trailing characters,2023-07-19,literal data
10194,CH4,no trailing characters,15:15:28,literal data
10194,NA,22 columns,25 columns,literal data
10195,DATE,date like ,2,literal data
10195,TIME,time like ,in,literal data
10195,H2O,a double,"wetl""",literal data
10195,CO2,no trailing characters,2023-07-19,literal data
10195,CH4,no trailing characters,15:15:29,literal data
10195,NA,22 columns,25 columns,literal data
10196,DATE,date like ,2,literal data
10196,TIME,time like ,in,literal data
10196,H2O,a double,"wetl""",literal data
10196,CO2,no trailing characters,2023-07-19,literal data
10196,CH4,no trailing characters,15:15:30,literal data
10196,NA,22 columns,25 columns,literal data
10197,DATE,date like ,2,literal data
10197,TIME,time like ,in,literal data
